name;address;inn;ogrn;license_number
"Общество с ограниченной ответственностью ""СКИФ"" ООО ""СКИФ""";пр. Лиговский, д. 50, лит. Ф;7842382748;1,08985E+12;ло-78-01-001273
"Общество с ограниченной ответственностью ""Альфа-Дент"" ООО ""Альфа-Дент""";ул. Замшина, дом 15, лит. А, пом. 6-Н;7804176511;1,04781E+12;ло-78-01-001274
"Общество с ограниченной ответственностью  ""МедЭксперт"" ООО  ""МедЭксперт""";пр. Просвещения, д. 87, корпус 2, пом. 1Н;7804427162;1,09985E+12;ло-78-01-001275
"Общество с ограниченной ответственностью ""Медицинский центр ""Комбат"" ООО ""Медицинский центр ""Комбат""";ул. Маяковского, д. 50, литер А, пом. 4Н;7841374857;1,07985E+12;ло-78-01-001276
"Общество с ограниченной ответственностью ""Городской медико-социальный центр"" ООО ""ГМСЦ""";Столярный пер., д. 10-12, оф. 22;7838392623;1,07785E+12;ло-78-01-001277
"Общество с ограниченной ответственностью ""Стоматология ИМИ"" ООО ""Стоматология ИМИ""";проспект Стачек, дом 124, кв. 21;7805494274;1,09785E+13;ло-78-01-001278
"Общество с ограниченной ответственностью ""Мистапи"" ООО ""Мистапи""";промзона Металлострой, дорога на металлострой, дом 5, литер П;7817308726;1,07985E+12;ло-78-01-001279
"Общество с ограниченной ответственностью ""Лечебно-научный центр Ринологии"" ООО ""ЛНЦ Ринологии""";3-я линия В.О., д. 58, лит. А, пом. 7Н;7801498253;1,09785E+12;ло-78-01-001280
"Закрытое акционерное общество ""Медицинский центр ""ГИППОКРАТ"" ЗАО ""Медицинский центр ""ГИППОКРАТ""";Торжковская ул., дом 15;7814119554;1,02781E+13;ло-78-01-001281
"Общество с ограниченной ответственностью ""ЗайнКомпани"" ООО ""ЗайнКомпани""";ул. Белградская, д. 46, литер А, пом. 3-Н;7816434823;1,08985E+12;ло-78-01-001282
"Общество с ограниченной ответственностью ""СПб Дента+"" ООО ""СПб Дента+""";Вознесенский пр., д. 55, лит. А, пом. 4Н;783801001;1,03786E+12;ло-78-01-001283
Индивидуальнй предприниматель Махаева Наталия Николаевна                     ИП Махаева Наталия Николаевна;Павловская ул., д. 96, кв. 40;7,81709E+11;3,08785E+14;ло-78-01-001284
"Оздоровительный фонд ""МЕДИНЕФ"" ";ул. Моховая, д. 31, пом. 22-Н;7825107727;1,03784E+12;ло-78-01-001285
"Общество с ограниченной ответственностью ""Альмарин"" ООО ""Альмарин""";Энтузиастов пр., д. 38, лит. А, пом. 4Н;7806402237;1,08785E+12;ло-78-01-001286
"Общество с ограниченной ответственностью ""Аврора"" ООО ""Аврора""";ул. Бадаева, д. 1, корп. 1, лит. А, оф. 201;7811440693;1,09785E+12;ло-78-01-001287
"Общество с ограниченной ответственностью ""СВАДАР"" ООО ""СВАДАР""";ул. Кораблестроителей, д. 32, кор. 1, пом. 49Н, лит. А;7801364549;1,04786E+12;ло-78-01-001288
"Общество с ограниченной ответственностью ""Медицинский центр ""Старт"" ООО МЦ ""Старт""";ул. Подковырова, д. 9, лит. А;78013460550;1,09985E+12;ло-78-01-001289
"Общество с ограниченной ответственностью ""АиВ"" ООО ""АиВ""";Ленинский пр., д. 116, лит. А, пом. 11-Н;7805253014;1,03781E+12;ло-78-01-001290
"Общество с ограниченной ответственностью ""ДентИдеал Люкс"" ООО ""ДентИдеал Люкс""";ул. Гражданская.,  д. 2 кв. 2;7826019350;1,02781E+12;ло-78-01-001291
"Общество с ограниченной ответственностью ""ДентИдеал Плюс"" ООО ""ДентИдеал Плюс""";ул. Гражданская.,  д. 2 кв. 2;7809018340;1,02781E+12;ло-78-01-001292
"Общество с ограниченной ответственностью ""ДентИдеал Люкс"" ООО ""ДентИдеал Люкс""";ул. Гражданская.,  д. 2 кв. 2;7826019350;1,02781E+12;ло-78-01-001293
"Общество с ограниченной ответственностью ""ДентИдеал Плюс"" ООО ""ДентИдеал Плюс""";ул. Гражданская.,  д. 2 кв. 2;7809018340;1,02781E+12;ло-78-01-001294
"Общество с ограниченной ответственностью ""Международная Медицинская Компания"" ООО ""ММК""";ул. Кораблестроителей, д. 15, корп. 1, кв. 85;7801203397;1,0378E+12;ло-78-01-001295
"Общество с ограниченной ответственностью ""Дента-Лидер"" ООО ""Дента-Дидер""";пр. Энгельса, д. 93, лит. А, пом. 12-Н;7802489100;1,09985E+12;ло-78-01-001296
"Общество с ограниченной ответственностью ""Евродент Профи"" ООО ""Евродент Профи""";Столярный пер., д. 10-12, лит. А;7825448501;1,02781E+12;ло-78-01-001297
"Общество с ограниченной ответственностью ""САНДАЛ"" ООО ""САНДАЛ""";11-я линия В.О., д. 24, лит. А, пом. 9-Н;7801230425;1,0378E+12;ло-78-01-001298
"Общество с ограниченной ответственностью ""Валаам МЕД"" ООО ""Валаам МЕД""";ул. Колокольная, д. 13, лит. А, пом. 3;7841305300;1,04786E+12;ло-78-01-001299
"Автономная некоммерческая организация ""Поликлиника Петербургского метрополитена"" АНО ""Поликлиника Петербургского метрополитена""";Трамвайный пр., д. 22, корп. 2;7805155627;1,0278E+12;ло-78-01-001300
"Общество с ограниченной ответственностью ""Профи"" ООО ""Профи""";пр. Энгельса, д. 72, лит. В, часть здания 1-Н;7838007656;1,03786E+12;ло-78-01-001301
"Открытое кционерное Общество ""ЗВЕЗДА"" ОАО ""ЗВЕЗДА""";ул. Бабушкина, д. 123;7811038760;1,03783E+12;ло-78-01-001302
"Общество с ограниченной ответственностью ""Центр остеопатии"" ООО ""Центр остеопатии""";ул. Рубинштейна, д. 27, лит. А, пом. 9Н;7814320147;1,05781E+12;ло-78-01-001303
"Общество с ограниченной ответственностью ""Санкт Мортиц"" ООО ""Санкт Моритц""";ул. Малая Бухарестская, д. 3, кв. 155;7816465652;1,09785E+12;ло-78-01-001304
"Общество с ограниченной ответственностью Медицинский центр ""Ремедент"" ООО Медицинский центр ""Ремедент""";ул. Кирочная, д. 32-34;7814114176;1,02781E+12;ло-78-01-001305
"Общество с ограниченной ответственностью ""АВА-ПЕТЕР"" ООО ""АВА-ПЕТЕР""";Невский пр., д. 22-24, лит. А, пом. 50-Н;7825052242;1,02781E+12;ло-78-01-001306
"Общество с ограниченной ответственностью Стоматологическая клиника "" На Стародеревенской"" ООО ""Стоматология на Стародеревенской""";ул. Стародеревенская, д. 33/10, пом. 21-Н, лит. Б;7814303279;1,04786E+12;ло-78-01-001307
"Общество с ограниченной ответственностью ""РадДент"" ООО ""РадДент""";ул. Школьная, д. 8;7814441423;1,09785E+12;ло-78-01-001308
"Закрытое акционерное общество ""Планета Фитнес СПб"" ЗАО ""Планета Фитнес СПб""";ул. Мебельная, д. 1, лит. А, корп. 2;7814003807;1,02781E+12;ло-78-01-001309
"Общество с ограниченной ответственностью ""Центр медицинских комиссий"" ООО ""Центр медицинских комиссий""";ул. Большая Пушкарская, д. 20, лит. А;7813456089;1,09785E+12;ло-78-01-001310
"Общество с ограниченной ответственностью ""Индивидуальные диетические программы"" ООО ""ИДП""";ул. Таврическая, дом 9, лит. А, пом. 6Н;7840317197;1,05781E+12;ло-78-01-001311
"Общество с ограниченной ответственностью ""СТоКОс"" Медицинский центр""";ул. Димитрова, д. 15, корп. 1, лит. А, пом. 2Н;7840317197;1,05781E+12;ло-78-01-001312
"Общество с ограниченной ответственностью ""Косметологическая поликлиника"" ООО ""Косметологическая поликлиника""""";проспект Среднегаванский, д. 9, лит. А, пом. 2-Н;7801507282;1,09785E+12;ло-78-01-001313
"Общество с ограниченной ответственностью ""Северо-Западный Медицинский Центр"" ООО ""СЗМЦ""";ул. Боровая, д. 55, пом. 54-46;7801467262;1,08985E+12;ло-78-01-001314
"Общество с ограниченной ответственностью ""БЛИК"" ООО ""БЛИК""";Средний пр. В.О., д. 76/18, лит. А, пом. 2Н;7801165818;1,0378E+12;ло-78-01-001315
"Производственный кооператив ""РЕМСТАН"" ПК ""РЕМСТАН""";Гражданский пр., д. 83, корп. 3;7804009510;1,0278E+12;ло-78-01-001316
Индивидуальный предприниматель Солонский Александр Владимирович И.п. Солонский Александр Владимирович;ул. Руставели, д. 37, к. 2, кв. 7;7,80401E+11;3,0478E+14;ло-78-01-001317
"Общество с ограниченной ответственностью ""Центр коррекции иммунитета"" ООО ""Центр коррекции иммунитета""";пр. Испытателей, д. 20;7814125523;1,03783E+12;ло-78-01-001318
"Общество с ограниченной ответственностью ""Денница"" ООО ""Денница""";ул. Ивана Фомина, д. 8, литер Г, пом. 2-Н;7802479824;1,09785E+12;ло-78-01-001319
"Общество с ограниченной ответственностью ""МедЛайн Студия"" ООО ""МедЛайн Студия""";ул. 12-я Красноармейская, д. 2, лит. А, пом. 2Н;7839331655;1,06785E+12;ло-78-01-001320
"Общество с ограниченной ответственностью ""ЦЕНТР РЕАБИЛИТАЙИИ ДОКТОРА А.И. СУХАНОВА"" ООО ""ЦЕНТР РЕАБИЛИТАЦИИ ДОКТОРА А.И. СУХАНОВА""";ул. Белоостровская, д. 26, корп. 2;7814053283;1,02781E+12;ло-78-01-001321
"Некоммерческое медицинское частное учреждение ""Медико-оздоровительный центр Венус"" НМЧУ ""Медицинский центр Венус""";ул. Зверинская, д. 15;7813127140;1,02781E+11;ло-78-01-001322
"Закрытое акционерное общество ""Северо-Западный Ценр доказательной медицины"" ЗАО ""Северо-Западный Центр доказательной медицины""";Петровская наб., д. 4, оф. 3;7813316148;1,05781E+12;ло-78-01-001323
"Общество с ограниченной ответственностью ""Меди ком"" ООО ""Меди ком""";пр. Ударников, д. 19, корп. 1, лит. А;7802411791;1,07985E+12;ло-78-01-001324
"Общество с ограниченной ответственностью ""ЭКСПРЕСС-СЕРВИС"" ООО ""ЭКСПРЕСС-СЕРВИС""";ул. Яхтенная, д. 10, лит. А, корп. 1, пом. 2-Н;7814136660;1,03783E+12;ло-78-01-001325
"Общество с ограниченной ответственностью ""ЛЕКА-ФАРМ"" ООО ""ЛЕКА-ФАРМ""";Приморское шоссе, дом 271, лит. А, пом. 1-Н;7827008961;1,02782E+12;ло-78-01-001326
"Общество с ограниченной ответственностью ""Медицинская лаборатория Плюс"" ООО ""Медицинская лаборатория Плюс""";Фермское шоссе, д. 32, лит. А, пом. 39Н;7814368438;1,07785E+12;ло-78-01-001327
"Закрытое акционерное общество ""Физиолэйз Клиник"" ЗАО ""Физиолэйз Клиник""";пр. Авиаконструкторов, д. 6;7814118702;1,02781E+12;ло-78-01-001328
"Общество с ограниченной ответственностью ""Медицинская лаборатория Плюс"" ООО ""Медицинская лаборатория Плюс""";Фермское шоссе, д. 32, лит. А, пом. 39Н;7814368438;1,07785E+12;ло-78-01-001329
"Закрытое акционерное общество ""Международный деловой центр ""НЕПТУН""";наб Обводного канала, д. 93а;7809008140;1,02781E+12;ло-78-01-001330
"Общество с ограниченной ответственностью ""Научно-исследовательский лечебный центр ""Деома"" ООО НИЛЦ ""Деома""";Лиговский пр., д. 60-62;7825107822;1,02781E+12;ло-78-01-001331
"Общество с ограниченной ответственностью ""БАЛТТЕКС"" ООО ""БАЛТТЕКС""";пр. Стачек, д. 134;7805075153;1,03781E+12;ло-78-01-001332
"Общество с ограниченной ответственностью ""ИОН"" ООО ""ИОН""";пр. Стачек, д. 96, кв. 71;7805490022;1,09785E+12;ло-78-01-001333
"Общество с ограниченной ответственностью ""Валеодент Плюс"" ООО ""Валеодент Плюс""";Петергофское шоссе, д. 3, к. 1, лит. Д;7805113070;1,03782E+12;ло-78-01-001334
"Общество с ограниченной ответственностью ""МЕДИУМ"" ООО ""МЕДИУМ""";Красносельское шоссе, д. 4;7807025849;1,0278E+12;ло-78-01-001335
"Общество с ограниченной ответственностью ""ЛЮБАВА"" ООО ""ЛЮБАВА""";ул. Марата, д. 77;7825344140;1,03784E+12;ло-78-01-001336
"Общество с ограниченной ответственностью ""Норма Кор"" ООО ""Норма Кор""";ул. Ропшинская, д. 19/40;7813306421;1,04786E+12;ло-78-01-001337
"Общество с ограниченной ответственностью ""Госпиталь ОрКли"" ООО ""Госпиталь ОрКли""";В.О. Средний пр., д. 48, пом. 20Н, лит. А;7801100627;1,0378E+12;ло-78-01-001338
"Общество с ограниченной ответственностью ""Госпиталь ОрКли"" ООО ""Госпиталь ОрКли""";В.О. Средний пр., д. 48, пом. 20Н, лит. А;7801100627;1,0378E+12;ло-78-01-001339
"Общество с ограниченной ответственностью ""Центр Диализа Санкт-Петербург"" ";Северный пр., д. 1, лит. А;7801363337;1,04786E+12;ло-78-01-001340
"Общество с ограниченной ответственностью ""КЛИК"" ООО ""КЛИК"" ";ул. Кронштадтская, д. 4, лит. А;7805374354;1,05781E+12;ло-78-01-001341
"Общество с ограниченной ответственностью ""КЛИК"" ООО ""КЛИК"" ";ул. Кронштадтская, д. 4, лит. А;7805374354;1,05781E+12;ло-78-01-001342
"Закрытое акционерное общество ""Клиника Доброго Стоматолога"" ЗАО ""КДС""";Коломяжский пр., д. 20, лит. А, пом. 163-Н;7814140472;1,03783E+12;ло-78-01-001343
"Общество с ограниченной ответственностью ""БиоТехСервис"" ООО ""БиоТехСервис""";пер. Дровяной, д. 22, лит. А, пом. 4Н;7839411967;1,09785E+12;ло-78-01-001344
"Общество с ограниченной ответственностью ""Медиал"" ООО ""Медиал""";ул. Фрунзе, д. 4, лит. А, пом. 10Н;7810003309;1,04786E+12;ло-78-01-001345
"Общество с ограниченной ответственностью ""ВИТА ЦЕНТР"" ООО ""ВИТА ЦЕНТР""";пр. Энгельса, д. 27;7802489484;1,09985E+12;ло-78-01-001346
"Общество с ограниченной ответственностью ""Дельфор"" ООО ""Дельфор""";наб. р. Карповки, лит. А, пом. 21Н;7813465485;1,07847E+11;ло-78-01-001347
"Общество с ограниченной ответственностью ""Дента"" ООО ""Дента""";ул. Марата, дом 31, литер А, пом. 1Н;7840013953;1,04784E+12;ло-78-01-001348
"ЗАО ""Древо жизни. Клиника предективной медицины"" ЗАО ""Древо жизни. Клиника""";Крестовский проспект, д. 15, лит. А, пом. 8Н;7813440890;1,09785E+12;ло-78-01-001349
"Общество с ограниченной ответственностью ""ЭКО-Лайн"" ООО ""ЭКО-Лайн""";ул. Латышских Стрелков, д. 1, лит. А, пом. 10Н;7811150602;1,04782E+12;ло-78-01-001350
"Общество с ограниченной ответственностью ""АЙСБЕРГ"" ООО ""АЙСБЕРГ""";проспект Авиаконструкторов д. 5, корпус 2, литер А, пом. 4Н, 26, 28, 29, 30, 31, 32, 33;7814459678;1,07847E+11;ло-78-01-001351
"Открытое акционерное общество ""Санкт-Петерубргский научно-исследовательский и ипроектно-конструкторский институт ""АТОМЭНЕРГОПРОЕКТ"" ОАО ""СПбАЭП""";ул. 2-я Советская, д. 9/2а;7842388732;1,08985E+12;ло-78-01-001352
"Общество с ограниченной ответственностью ""ИСКРОМЕД"" ООО ""ИСКРОМЕД""";ул. Самойловой, д. 5;7816126868;1,02781E+12;ло-78-01-001353
"Общество с ограниченной ответственностью ""Европа Отель"" ООО ""Европа Отель""";ул. Михайловская, д. 1/7;7841304521;1,04786E+12;ло-78-01-001354
"Общество с ограниченной ответственностью ""Дентал Комфорт"" ООО ""Дентал Комфорт""";ул. Народная, д. 42, к. 2, лит. А, пом. 6Н;7816238963;1,04783E+12;ло-78-01-001355
"Общество с ограниченной ответственностью ""Дельта Дент"" ООО ""Дельта Дент""";Малоохтинский пр., д. 86а, корп. 2, пом. 9Н, лит. А;7842008405;1,04784E+12;ло-78-01-001356
"Закрытое акционерное общество ""ОРЛАН-мед"" ООО ""ОРЛАН-мед""";Коломяжский пр., д. 36/2, лит. А, пом. 13Н;7814332689;1,05781E+12;ло-78-01-001357
"Общество с ограниченной ответственностью ""Стоматологический центр ""Стомус"" ООО ""СЦ ""Стомус""";пр. Луначарского. Д. 49;7802373610;1,06985E+12;ло-78-01-001358
"Закрытое акционерное общество ""Мултон"" ЗАО ""Мултон""";ул. Софийская, д. 14;7810249327;1,0278E+12;ло-78-01-001359
"Общество с ограниченой ответственностью  Лечебно-диагностический стоматлогический центр ""Альфа-Дент"" ООО ""Альфа-Дент""";ул. Павловская, д. 23/16, литер А;7817306454;5,06785E+12;ло-78-01-001360
"Закрытое акционерное общество ""Северо-Западный Центр доказательной медицины"" ЗАО ""Северо-Западный Центр доказательной медицины""";Петровская наб., д. 4, офис 3;7813316148;1,05781E+12;ло-78-01-001361
"Общество с ограниченной ответственностью ""Евролюкс 2"" ООО ""Евролюкс 2""";пр. Космонавтов, д. 61, корп. 1, лит. А, пом. 29Н;7810573820;1,09985E+12;ло-78-01-001362
"Общество с ограниченной ответственностью ""КВЕСТОРМЕД"" ООО ""КЕСТОРМЕД""";пр. Энгельса, д. 61, корпус 2, лит. А;7802492631;1,07847E+11;ло-78-01-001363
"Общество с ограниченной ответственностью ""Система здоровья: гирудотерапия, массаж"" ООО ""С З""";ул. Марата, д. 32, лит. а, пом. 2-Н;7838427026;1,09785E+12;ло-78-01-001364
"Общество с ограниченной ответственностью ""Санкт-Петербургский центр дентальной имплантации"" ООО ""Санкт-Петербургский центр дентальной имплантации""";Большой пр., П.С., д. 9/1, литер АЮ помю 8Н;7813452101;1,09785E+12;ло-78-01-001365
"Общество с ограниченной ответственностью ""Центр Здоровья Волос"" ООО ""Центр здоровья волос""";Московский пр., д. 102, лит. А, пом. 15-Н;7810542068;1,08785E+12;ло-78-01-001366
"Общество с ограниченной ответственностью ""Анна"" ООО ""Анна"" ";ул. Тельмана. Д. 49;7811311024;1,04786E+12;ло-78-01-001367
"Общество с ограниченной ответственностью Медико-консультативный центр ""Врач+"" ООО ""Врач+""";ул. Сердобольская, д. 2=в лит. А;7802300403;1,04786E+12;ло-78-01-001368
"Общество с ограниченной ответственностью ""АСТРА-2"" ООО ""АСТРА-2""";ул. 8-я Красноармейская, д. 3;7839016283;1,04784E+12;ло-78-01-001369
"Общество с ограниченной ответственностью ""Кассандра Мед ООО ""Кассандра Мед""";Апраксин пер., д. 4, лит. А, пом. 15Н;7840334347;1,06785E+12;ло-78-01-001370
"Открытое акционерное общество ""Санкт-Петерубргское морское бюро машиностроения ""МАЛАХИТ""  ОАО ""Санкт-Петерубргское морское бюро машиностроения ""МАЛАХИТ""  ";ул Фрунзе, д.18;7810537540;1,08785E+13;ло-78-01-001371
"Общество с ограниченной ответственностью ""РИМЕД"" ООО ""РИМЕД""";ул. Академика Лебедева, д. 15/1, лит. А, пом. 2-Н;7804160776;1,0278E+12;ло-78-01-001372
"Общество с ограниченной ответственностью Дентал РУ"" ООО ""Дентал РУ""";пр. Большой П.С., дом 10, лит. Б, пом. 3Н;7813458311;1,09985E+12;ло-78-01-001373
Инливидуальный предприниматель Левин Николай Анатольевич И.п. Левин Н.А.;ул. Комсомола, д. 7, кв. 32;7,80401E+11;3,0478E+14;ло-78-01-001374
"Общество с ограниченной ответственностью ""Альтернатива"" ООО ""Альтернатива""";ул. Токарева, д. 18;7827002952;1,02781E+12;ло-78-01-001375
"Некоммерческое медицинское частное учреждение ""Медико-оздоровительный центр  Венус"" НМЧУ ""Венус""";ул. Зверинская, д. 15;7813127140;1,02781E+12;ло-78-01-001376
"Общество с ограниченной ответственностью ""Хорошая Стоматология"" ООО ""Хорошая Стоматология""";Учебный пер., д. 2, лит. А, пом. 46Н;7802325334;1,05781E+12;ло-78-01-001377
"Общество с ограниченной ответственностью ""Центр аллергологии иммунологии доктора Поповича"" ООО ""ЦАИДП""";Большой пр. В.О., д. 9/6, лит. А, пом. 3Н;7825133710;1,03784E+12;ло-78-01-001378
"Общество с ограниченной ответственностью ""Адмирал"" ООО ""Адмирал""";пр. Нарвский, д. 4-6, лит. А, пом. 8Н;7839015441;1,04784E+12;ло-78-01-001379
"Общество с ограниченной ответственностью ""ЦЕНТР ЛАЗЕРНОЙ ТЕРАПИИ ""БИОМЕД"" ООО ""ЦЛТ ""БИОМЕД""";ул. Моховая, д. 12, пом. 2;7841313519;1,05781E+12;ло-78-01-001380
"Общество с ограниченной ответственностью ""Медан"" ООО ""Медан""";пос. Лисий Нос, Морской пр-кт, д. 3;7814361150;1,06985E+12;ло-78-01-001381
"Общество с ограниченной ответственностью Медицинский центр ""Прима-дент"" ООО  Медицинский центр ""Прима-дент""";ул. Красноармейская, д. 20;7819030265;1,04783E+12;ло-78-01-001382
"Общество с ограниченной ответственностью ""Дента-Сервис"" ООО ""Дента-Сервис""";Кронверкский пр., д. 23;7813085444;1,03783E+12;ло-78-01-001383
Индивидуальный предприниматель репин Алексей Авенирович И.П. Репин А.А.;ул. Благодатная, д. 16, кв. 6;7,81E+11;3,04781E+14;ло-78-01-001384
"Общество с ограниченной ответственностью ""ФКВ клиника ""Примавера"" ООО ""ФКВ клиника ""Примавера""";пр. Стачек, д. 57, пом. 2Н лит. а;7825662400;1,02781E+12;ло-78-01-001385
"Общество с ограниченной ответственностью ""Хеликс Балтика"" ООО ""Хеликс Балтика""";Гражданский пр., д. 88, корп. 3, лит. А, пом. 18-Н;7804347284;5,06785E+12;ло-78-01-001386
"Общество с ограниченной ответственностью ""Бьюти Хаус"" ООО ""Бьюти Хаус""";Левашовский пр., д. 13, лит. Е;7813437872;1,09785E+12;ло-78-01-001387
"Производственный кооператив ""Дилесто"" ПК ""Дилесто"" ";Учительская улица, д. 19, корпус 3, кв. 11;7804021684;1,03781E+12;ло-78-01-001388
"Закрытое акционерное общество ""Невская Оптика Холдинг"" ЗАО ""Невская Оптика Холдинг""";Ленинский пр., д. 140;7805140028;1,0278E+12;ло-78-01-001389
индивидуальный предприниматель Иванова Елена Викторовна И.П. Иванова Е.В.;ул. Композиторов, д. 5, кв. 97;7,802E+11;4,07785E+14;ло-78-01-001390
"Общество с ограниченной ответственностью  ""РОЙАЛМЕД"" ООО ""РОЙАЛМЕД""";ул. Рубинштейна, д. 27, лит. А, пом. 9-Н;7825508976;1,03784E+12;ло-78-01-001391
"Общество с ограниченной ответственностью  ""Лекарь"" ООО ""Лекарь""";Лифлянская ул., д. 1, лит. А;7826028517;1,02781E+12;ло-78-01-001392
"Общество с ограниченной ответственностью  ""Медико-оздоровительный центр Релаксмед"" ООО ""Медико-оздоровительный центр ""Релаксмед""";ул. Пушкинская, д. 11;7820300082;1,04786E+12;ло-78-01-001393
"Общество с ограниченной ответственностью ""УЗИ 21 век+"" ООО ""УЗИ 21 век+""";пр. Стачек, д. 37 лит. а;7805469870;1,08985E+12;ло-78-01-001394
"Общество с ограниченной ответственностью  ""Медицинский центр ""Союза интернационалистов""";ул. Мартыновская, д. 6, лит. А, пом. 19Н;7814408240;1,08985E+12;ло-78-01-001395
"Общество с ограниченной ответственностью  ""КЛИНИКА ШВЕЙЦАРСКОЙ ИМПЛАНТОЛОГИИ"" ООО ""КЛИНИКА ШВЕЙЦАРСКОЙ ИМПЛАНТОЛОГИИ""";ул. Кораблестроителей, д. 30, лит. А, пом. 57Н;7801513832;1,10785E+12;ло-78-01-001396
"Общество с ограниченной ответственностью  ""Альфа"" ОО ""Альфа""";пр. Дунайский, д. 31, корп. 1, лит. А;7816483323;1,10785E+12;ло-78-01-001397
"Общество с ограниченной ответственностью  ""А-МЕДИ"" ООО ""А-МЕДИ""";пр. Просвещения, д. 33, корп. 2, лит. А, пом. 66-Н;7802499235;1,10785E+12;ло-78-01-001398
"Общество с ограниченной ответственностью  ""Феникс"" ООО ""Феникс""";ул. Куйбышева, д. 33/8, лит. А, пом. 16Н;7813386498;1,07785E+12;ло-78-01-001399
"Закрытое акционерное общество ""МЕКО"" ЗАО ""МЕКО""";9-я линия, д. 74 лит. А, пом. 2Н;7801038055;1,0278E+12;ло-78-01-001400
"Общество с ограниченной ответственностью ""Медицинский Центр ""Капитал-Полис""  ООО ""Медицинский Центр ""Капитал-Полис""";Московский пр., д. 22, лит. 3,;78126058328;1,02781E+12;ло-78-01-001401
"Оздоровительное учреждение ""Лечебно диагностический центр Международного института биологических систем"" ОУ ""ЛДЦ МИБС""";Удельный пр., д. 22, лит. А;7802202646;1,0278E+12;ло-78-01-001402
"Общество с ограниченной ответственностью ""Мастерстом"" ООО ""Мастерстом""";ул. Гаккелевская, д. 22, корп. 1, лит. А;781449687;1,09785E+12;ло-78-01-001403
"Общество с ограниченной ответственностью ""Абриелль"" ООО ""Абриелль""";Косая линия, дом 3, корпус 2, лит, А, пом. 16, 17, 18, 19, 20, 21;7802454555;1,08985E+12;ло-78-01-001404
"Общество с ограниченной ответственностью ""СОЮЗ-4"" ООО ""СОЮЗ-4""";ул. Большая Пушкарская, д. 47, лит. А;7813444051;1,09785E+12;ло-78-01-001405
"Общество с ограниченной ответственностью ""КРИСТАЛЛ"" ООО ""КРИСТАЛЛ""";ул. Гаврская, д. 15, лит. А, пом. 26-Н;7802492582;1,10785E+12;ло-78-01-001406
"Общество с ограниченной ответственностью ""Ортодонтический центр ""ДентИдеал"" ООО ""Ортодонтический центр ""ДеентИдеал""";Загородный пр., д. 48, лит. А;7809029599;1,02781E+12;ло-78-01-001407
"Общество с ограниченной ответственностью ""Эстетик-Клуб"" ООО ""Эстетик-Клуб""";4-я линия В.О., дом 13, лит. А, пом. 4Н;7801506539;1,09785E+12;ло-78-01-001408
"Общество с ограниченной ответственностью ""Новый ВЕК"" ООО ""Новый ВЕК""";Лермонтовский пр., д. 32, лит. Б, пом. 3Н;7839012909;1,04784E+12;ло-78-01-001409
"Общество с ограниченной ответственностью ""СТРАХОВОЙ ХОЛДИНГ ""ПИТЕР"" ООО ""СХ ""ПИТЕР""";ул. Серпуховская, д. 17, лит. А, пом. 9-Н;7838359954;5,06785E+12;ло-78-01-001410
"Общество с ограниченной ответственностью ""Астра-Мед"" ООО ""Астра-Мед""";пр. Просвещения, д. 99, лит. А, пом. 17Н;7804419845;1,09785E+12;ло-78-01-001411
"Некоммерческое медицинское частное учреждение ""Медико-оздоровительный центр Венус"" НМЧУ ""Медицинский центр ВЕНУС""";ул. Зверинская, д. 15;7813127140;1,02781E+12;ло-78-01-001412
"Общество с ограниченной ответственностью ""СТИЛЬ"" ООО ""СТИЛЬ""";пр. Нарвский, д. 18, лит. А, пом. 14-Н;78090912860;1,02781E+12;ло-78-01-001413
"Общество с ограниченной ответственностью ""АМИДЕНТ"" ООО ""АМИДЕНТ""";улица Боровая, д. 14, лит. А, пом. 12Н;7840311170;1,05781E+12;ло-78-01-001414
"Общество с ограниченной ответственностью ""Наркологическая клиника ""АБИА""  ООО ""НК ""АБИА""";пр. Королева, д. 48, корп. 7, лит. А;7814403851;1,08985E+12;ло-78-01-001415
"Общество с ограниченной ответственностью ""Ю.Питер"" ООО ""Ю.Питер""";пр. Энгельса, д. 27, лит. Т, офис 901;7802488875;1,09985E+12;ло-78-01-001416
"Общество с ограниченной ответственностью ""Вигорплант"" ООО ""Вигорплант""";ул. Володарского, д. 12, лит. А;7827009370;1,02781E+12;ло-78-01-001417
"Общество с ограниченной ответственностью ""ВАВИЛОН-С"" ООО ""ВАВИЛОН-С""";ул. Вавиловых, д. 9, корп. 5;7804356264;1,07785E+12;ло-78-01-001418
"Закрытое акционерное общество ""Герикон"" ЗАО ""Герикон""";ул. Гражданская, д. 2-4, лит. А;7826030386;1,02781E+12;ло-78-01-001419
"Общество с ограниченной ответственностью ""ТЭСС"" ООО ""ТЭСС""";ул. Ивановская, д. 7, лит. А, пом. 27-Н;7811127233;1,02781E+12;ло-78-01-001420
"Общество с ограниченной ответственностью ""Воздушные Ворота Северной Столицы"" ООО ""Воздушные Ворота Северной Столицы""";Невский пр., д. 21А, пом. 13-Н, № 2-3;7703590927;1,06775E+12;ло-78-01-001421
"Общество с ограниченной ответственностью ""Протект Консалтинг"" ООО ""Протект Консалтинг""";улица Турку, д. 8, корп. 1, лит. А;7816391143;5,06785E+12;ло-78-01-001422
